TAXA	Isolate ID	Bioproject	Inner_northwest_genomic_signature_SNP	Case_ID
SRR39121698	AUSMDU00115586	PRJNA857537	Y	43_2024
SRR39121699	AUSMDU00115582	PRJNA857537	N	NA
SRR39121700	AUSMDU00095262	PRJNA857537	N	NA
SRR39121701	AUSMDU00115576	PRJNA857537	N	NA
SRR39121702	AUSMDU00115558	PRJNA857537	N	NA
SRR39121703	AUSMDU00115556	PRJNA857537	N	NA
SRR39121704	AUSMDU00115555	PRJNA857537	N	NA
SRR39121705	AUSMDU00115554	PRJNA857537	Y	62_2024
SRR39121706	AUSMDU00115550	PRJNA857537	N	NA
SRR39121707	AUSMDU00115547	PRJNA857537	N	NA
SRR39121708	AUSMDU00115546	PRJNA857537	N	NA
SRR39121709	AUSMDU00115540	PRJNA857537	N	NA
SRR39121710	AUSMDU00112059	PRJNA857537	N	NA
SRR39121711	AUSMDU00112042	PRJNA857537	Y	33_2024
SRR39121712	AUSMDU00112030	PRJNA857537	N	NA
SRR39121713	AUSMDU00111988	PRJNA857537	N	NA
SRR39121714	AUSMDU00111979	PRJNA857537	N	NA
SRR39121715	AUSMDU00094377	PRJNA857537	N	NA
SRR39121716	AUSMDU00111977	PRJNA857537	N	NA
SRR39121717	AUSMDU00110050	PRJNA857537	N	NA
SRR39121718	AUSMDU00110049	PRJNA857537	N	NA
SRR39121719	AUSMDU00110036	PRJNA857537	N	NA
SRR39121720	AUSMDU00110032	PRJNA857537	N	NA
SRR39121721	AUSMDU00110028	PRJNA857537	N	NA
SRR39121722	AUSMDU00110009	PRJNA857537	N	NA
SRR39121723	AUSMDU00109854	PRJNA857537	N	NA
SRR39121724	AUSMDU00109847	PRJNA857537	Y	21_2024
SRR39121725	AUSMDU00109845	PRJNA857537	N	NA
SRR39121726	AUSMDU00094376	PRJNA857537	N	NA
SRR39121727	AUSMDU00109843	PRJNA857537	N	NA
SRR39121728	AUSMDU00109840	PRJNA857537	N	NA
SRR39121729	AUSMDU00109833	PRJNA857537	N	NA
SRR39121730	AUSMDU00109832	PRJNA857537	N	NA
SRR39121731	AUSMDU00109830	PRJNA857537	N	NA
SRR39121732	AUSMDU00109829	PRJNA857537	N	NA
SRR39121733	AUSMDU00109828	PRJNA857537	Y	22_2024
SRR39121734	AUSMDU00109813	PRJNA857537	N	NA
SRR39121735	AUSMDU00109812	PRJNA857537	N	NA
SRR39121736	AUSMDU00109811	PRJNA857537	N	NA
SRR39121737	AUSMDU00094375	PRJNA857537	N	NA
SRR39121738	AUSMDU00109804	PRJNA857537	N	NA
SRR39121739	AUSMDU00109803	PRJNA857537	N	NA
SRR39121740	AUSMDU00109788	PRJNA857537	N	NA
SRR39121741	AUSMDU00109780	PRJNA857537	Y	NA
SRR39121742	AUSMDU00114746	PRJNA857537	N	NA
SRR39121743	AUSMDU00114736	PRJNA857537	N	NA
SRR39121744	AUSMDU00114735	PRJNA857537	N	NA
SRR39121745	AUSMDU00095255	PRJNA857537	N	NA
SRR39121746	AUSMDU00094353	PRJNA857537	Y	NA
SRR39121747	AUSMDU00114733	PRJNA857537	N	NA
SRR39121748	AUSMDU00114730	PRJNA857537	N	NA
SRR39121749	AUSMDU00114729	PRJNA857537	N	NA
SRR39121750	AUSMDU00114728	PRJNA857537	N	NA
SRR39121751	AUSMDU00113356	PRJNA857537	N	NA
SRR39121752	AUSMDU00113346	PRJNA857537	N	NA
SRR39121753	AUSMDU00113344	PRJNA857537	N	NA
SRR39121754	AUSMDU00113321	PRJNA857537	N	NA
SRR39121755	AUSMDU00113292	PRJNA857537	Y	32_2024
SRR39121756	AUSMDU00113288	PRJNA857537	N	NA
SRR39121757	AUSMDU00095254	PRJNA857537	N	NA
SRR39121758	AUSMDU00113265	PRJNA857537	N	NA
SRR39121759	AUSMDU00113226	PRJNA857537	N	NA
SRR39121760	AUSMDU00113145	PRJNA857537	Y	29_2024
SRR39121761	AUSMDU00113061	PRJNA857537	Y	15_2024
SRR39121762	AUSMDU00112171	PRJNA857537	Y	NA
SRR39121763	AUSMDU00112162	PRJNA857537	N	NA
SRR39121764	AUSMDU00112160	PRJNA857537	N	NA
SRR39121765	AUSMDU00112103	PRJNA857537	Y	23_2024
SRR39121766	AUSMDU00112095	PRJNA857537	N	NA
SRR39121767	AUSMDU00112093	PRJNA857537	N	NA
SRR39121768	AUSMDU00095253	PRJNA857537	N	NA
SRR39121769	AUSMDU00112090	PRJNA857537	N	NA
SRR39121770	AUSMDU00112089	PRJNA857537	N	NA
SRR39121771	AUSMDU00112085	PRJNA857537	N	NA
SRR39121772	AUSMDU00112078	PRJNA857537	N	NA
SRR39121773	AUSMDU00112068	PRJNA857537	N	NA
SRR39121774	AUSMDU00104857	PRJNA857537	Y	6_2024
SRR39121775	AUSMDU00104856	PRJNA857537	Y	7_2024
SRR39121776	AUSMDU00103866	PRJNA857537	Y	NA
SRR39121777	AUSMDU00103636	PRJNA857537	N	NA
SRR39121778	AUSMDU00103635	PRJNA857537	N	NA
SRR39121779	AUSMDU00103634	PRJNA857537	Y	NA
SRR39121780	AUSMDU00102579	PRJNA857537	N	NA
SRR39121781	AUSMDU00102347	PRJNA857537	Y	NA
SRR39121782	AUSMDU00102160	PRJNA857537	N	NA
SRR39121783	AUSMDU00094368	PRJNA857537	N	NA
SRR39121784	AUSMDU00100130	PRJNA857537	N	NA
SRR39121785	AUSMDU00100126	PRJNA857537	N	NA
SRR39121786	AUSMDU00100121	PRJNA857537	N	NA
SRR39121787	AUSMDU00100105	PRJNA857537	N	NA
SRR39121788	AUSMDU00100089	PRJNA857537	N	NA
SRR39121789	AUSMDU00100082	PRJNA857537	N	NA
SRR39121790	AUSMDU00100078	PRJNA857537	Y	NA
SRR39121791	AUSMDU00100076	PRJNA857537	N	NA
SRR39121792	AUSMDU00100061	PRJNA857537	N	NA
SRR39121793	AUSMDU00100050	PRJNA857537	N	NA
SRR39121794	AUSMDU00094367	PRJNA857537	N	NA
SRR39121795	AUSMDU00100047	PRJNA857537	N	NA
SRR39121796	AUSMDU00100044	PRJNA857537	N	NA
SRR39121797	AUSMDU00100039	PRJNA857537	N	NA
SRR39121798	AUSMDU00100029	PRJNA857537	N	NA
SRR39121799	AUSMDU00100022	PRJNA857537	N	NA
SRR39121800	AUSMDU00099997	PRJNA857537	N	NA
SRR39121801	AUSMDU00099995	PRJNA857537	N	NA
SRR39121802	AUSMDU00099981	PRJNA857537	N	NA
SRR39121803	AUSMDU00099978	PRJNA857537	N	NA
SRR39121804	AUSMDU00099970	PRJNA857537	Y	NA
SRR39121805	AUSMDU00094366	PRJNA857537	N	NA
SRR39121806	AUSMDU00097048	PRJNA857537	Y	NA
SRR39121807	AUSMDU00097042	PRJNA857537	N	NA
SRR39121808	AUSMDU00097028	PRJNA857537	N	NA
SRR39121809	AUSMDU00097007	PRJNA857537	N	NA
SRR39121810	AUSMDU00097006	PRJNA857537	N	NA
SRR39121811	AUSMDU00097005	PRJNA857537	Y	NA
SRR39121812	AUSMDU00097003	PRJNA857537	N	NA
SRR39121813	AUSMDU00097001	PRJNA857537	N	NA
SRR39121814	AUSMDU00096999	PRJNA857537	N	NA
SRR39121815	AUSMDU00096700	PRJNA857537	N	NA
SRR39121816	AUSMDU00094359	PRJNA857537	N	NA
SRR39121817	AUSMDU00096699	PRJNA857537	Y	NA
SRR39121818	AUSMDU00096698	PRJNA857537	N	NA
SRR39121819	AUSMDU00096696	PRJNA857537	N	NA
SRR39121820	AUSMDU00096695	PRJNA857537	Y	NA
SRR39121821	AUSMDU00096037	PRJNA857537	N	NA
SRR39121822	AUSMDU00096036	PRJNA857537	N	NA
SRR39121823	AUSMDU00095633	PRJNA857537	N	NA
SRR39121824	AUSMDU00095632	PRJNA857537	N	NA
SRR39121825	AUSMDU00095631	PRJNA857537	N	NA
SRR39121826	AUSMDU00095630	PRJNA857537	Y	NA
SRR39121827	AUSMDU00095629	PRJNA857537	N	NA
SRR39121828	AUSMDU00094355	PRJNA857537	Y	NA
SRR39121829	AUSMDU00095628	PRJNA857537	N	NA
SRR39121830	AUSMDU00095627	PRJNA857537	Y	NA
SRR39121831	AUSMDU00095626	PRJNA857537	N	NA
SRR39121832	AUSMDU00095625	PRJNA857537	Y	NA
SRR39121833	AUSMDU00095624	PRJNA857537	Y	NA
SRR39121834	AUSMDU00095623	PRJNA857537	N	NA
SRR39121835	AUSMDU00117623	PRJNA857537	N	NA
SRR39121836	AUSMDU00117586	PRJNA857537	N	NA
SRR39121837	AUSMDU00117577	PRJNA857537	N	NA
SRR39121838	AUSMDU00117570	PRJNA857537	N	NA
SRR39121839	AUSMDU00117205	PRJNA857537	N	NA
SRR39121840	AUSMDU00095622	PRJNA857537	N	NA
SRR39121841	AUSMDU00117204	PRJNA857537	N	NA
SRR39121842	AUSMDU00117196	PRJNA857537	N	NA
SRR39121843	AUSMDU00117194	PRJNA857537	N	NA
SRR39121844	AUSMDU00117178	PRJNA857537	N	NA
SRR39121845	AUSMDU00117144	PRJNA857537	N	NA
SRR39121846	AUSMDU00117141	PRJNA857537	Y	38_2024
SRR39121847	AUSMDU00117134	PRJNA857537	Y	63_2024
SRR39121848	AUSMDU00117120	PRJNA857537	N	NA
SRR39121849	AUSMDU00117102	PRJNA857537	N	NA
SRR39121850	AUSMDU00117093	PRJNA857537	N	NA
SRR39121851	AUSMDU00095621	PRJNA857537	N	NA
SRR39121852	AUSMDU00117083	PRJNA857537	Y	60_2024
SRR39121853	AUSMDU00115535	PRJNA857537	N	NA
SRR39121854	AUSMDU00095261	PRJNA857537	N	NA
SRR39121855	AUSMDU00115534	PRJNA857537	N	NA
SRR39121856	AUSMDU00115529	PRJNA857537	N	NA
SRR39121857	AUSMDU00115524	PRJNA857537	N	NA
SRR39121858	AUSMDU00115520	PRJNA857537	N	NA
SRR39121859	AUSMDU00115512	PRJNA857537	N	NA
SRR39121860	AUSMDU00115502	PRJNA857537	N	NA
SRR39121861	AUSMDU00115488	PRJNA857537	Y	19_2024
SRR39121862	AUSMDU00115477	PRJNA857537	N	NA
SRR39121863	AUSMDU00115472	PRJNA857537	N	NA
SRR39121864	AUSMDU00115471	PRJNA857537	N	NA
SRR39121865	AUSMDU00095260	PRJNA857537	N	NA
SRR39121866	AUSMDU00115469	PRJNA857537	Y	40_2024
SRR39121867	AUSMDU00115449	PRJNA857537	Y	42_2024
SRR39121868	AUSMDU00115430	PRJNA857537	N	NA
SRR39121869	AUSMDU00115422	PRJNA857537	Y	48_2024
SRR39121870	AUSMDU00115418	PRJNA857537	N	NA
SRR39121871	AUSMDU00115392	PRJNA857537	N	NA
SRR39121872	AUSMDU00115344	PRJNA857537	N	NA
SRR39121873	AUSMDU00115326	PRJNA857537	Y	47_2024
SRR39121874	AUSMDU00115323	PRJNA857537	N	NA
SRR39121875	AUSMDU00115319	PRJNA857537	Y	25_2024
SRR39121876	AUSMDU00095259	PRJNA857537	N	NA
SRR39121877	AUSMDU00115315	PRJNA857537	N	NA
SRR39121878	AUSMDU00115059	PRJNA857537	N	NA
SRR39121879	AUSMDU00115055	PRJNA857537	N	NA
SRR39121880	AUSMDU00115053	PRJNA857537	Y	30_2024
SRR39121881	AUSMDU00115051	PRJNA857537	Y	36_2024
SRR39121882	AUSMDU00115050	PRJNA857537	N	NA
SRR39121883	AUSMDU00115032	PRJNA857537	N	NA
SRR39121884	AUSMDU00115030	PRJNA857537	N	NA
SRR39121885	AUSMDU00109757	PRJNA857537	N	NA
SRR39121886	AUSMDU00109505	PRJNA857537	N	NA
SRR39121887	AUSMDU00109498	PRJNA857537	N	NA
SRR39121888	AUSMDU00109465	PRJNA857537	N	NA
SRR39121889	AUSMDU00109454	PRJNA857537	N	NA
SRR39121890	AUSMDU00109287	PRJNA857537	N	NA
SRR39121891	AUSMDU00094374	PRJNA857537	N	NA
SRR39121892	AUSMDU00109255	PRJNA857537	N	NA
SRR39121893	AUSMDU00109252	PRJNA857537	N	NA
SRR39121894	AUSMDU00109248	PRJNA857537	Y	NA
SRR39121895	AUSMDU00109245	PRJNA857537	N	NA
SRR39121896	AUSMDU00109239	PRJNA857537	Y	10_2024
SRR39121897	AUSMDU00109231	PRJNA857537	N	NA
SRR39121898	AUSMDU00109225	PRJNA857537	N	NA
SRR39121899	AUSMDU00109213	PRJNA857537	Y	14_2024
SRR39121900	AUSMDU00109208	PRJNA857537	Y	1_2024
SRR39121901	AUSMDU00109201	PRJNA857537	N	NA
SRR39121902	AUSMDU00094373	PRJNA857537	N	NA
SRR39121903	AUSMDU00109176	PRJNA857537	N	NA
SRR39121904	AUSMDU00109128	PRJNA857537	N	NA
SRR39121905	AUSMDU00108905	PRJNA857537	N	NA
SRR39121906	AUSMDU00108900	PRJNA857537	N	NA
SRR39121907	AUSMDU00108898	PRJNA857537	N	NA
SRR39121908	AUSMDU00108895	PRJNA857537	N	NA
SRR39121909	AUSMDU00108889	PRJNA857537	N	NA
SRR39121910	AUSMDU00108886	PRJNA857537	N	NA
SRR39121911	AUSMDU00108866	PRJNA857537	N	NA
SRR39121912	AUSMDU00108417	PRJNA857537	N	NA
SRR39121913	AUSMDU00094372	PRJNA857537	N	NA
SRR39121914	AUSMDU00108382	PRJNA857537	N	NA
SRR39121915	AUSMDU00108342	PRJNA857537	N	NA
SRR39121916	AUSMDU00108322	PRJNA857537	N	NA
SRR39121917	AUSMDU00099958	PRJNA857537	N	NA
SRR39121918	AUSMDU00099954	PRJNA857537	Y	NA
SRR39121919	AUSMDU00099948	PRJNA857537	Y	NA
SRR39121920	AUSMDU00099940	PRJNA857537	N	NA
SRR39121921	AUSMDU00099857	PRJNA857537	N	NA
SRR39121922	AUSMDU00099856	PRJNA857537	N	NA
SRR39121923	AUSMDU00099855	PRJNA857537	N	NA
SRR39121924	AUSMDU00099816	PRJNA857537	N	NA
SRR39121925	AUSMDU00099752	PRJNA857537	N	NA
SRR39121926	AUSMDU00099747	PRJNA857537	Y	NA
SRR39121927	AUSMDU00094365	PRJNA857537	Y	NA
SRR39121928	AUSMDU00099742	PRJNA857537	N	NA
SRR39121929	AUSMDU00099705	PRJNA857537	Y	NA
SRR39121930	AUSMDU00099701	PRJNA857537	N	NA
SRR39121931	AUSMDU00099695	PRJNA857537	Y	NA
SRR39121932	AUSMDU00099694	PRJNA857537	N	NA
SRR39121933	AUSMDU00099692	PRJNA857537	N	NA
SRR39121934	AUSMDU00099688	PRJNA857537	N	NA
SRR39121935	AUSMDU00099685	PRJNA857537	N	NA
SRR39121936	AUSMDU00099675	PRJNA857537	N	NA
SRR39121937	AUSMDU00099657	PRJNA857537	Y	NA
SRR39121938	AUSMDU00094364	PRJNA857537	N	NA
SRR39121939	AUSMDU00099651	PRJNA857537	N	NA
SRR39121940	AUSMDU00099389	PRJNA857537	N	NA
SRR39121941	AUSMDU00099371	PRJNA857537	N	NA
SRR39121942	AUSMDU00099370	PRJNA857537	N	NA
SRR39121943	AUSMDU00099369	PRJNA857537	N	NA
SRR39121944	AUSMDU00099368	PRJNA857537	Y	NA
SRR39121945	AUSMDU00099367	PRJNA857537	N	NA
SRR39121946	AUSMDU00097777	PRJNA857537	N	NA
SRR39121947	AUSMDU00097776	PRJNA857537	N	NA
SRR39121948	AUSMDU00097775	PRJNA857537	N	NA
SRR39121949	AUSMDU00117082	PRJNA857537	N	NA
SRR39121950	AUSMDU00117067	PRJNA857537	N	NA
SRR39121951	AUSMDU00117032	PRJNA857537	Y	NA
SRR39121952	AUSMDU00117031	PRJNA857537	N	NA
SRR39121953	AUSMDU00117025	PRJNA857537	N	NA
SRR39121954	AUSMDU00117023	PRJNA857537	N	NA
SRR39121955	AUSMDU00116814	PRJNA857537	N	NA
SRR39121956	AUSMDU00116809	PRJNA857537	N	NA
SRR39121957	AUSMDU00116807	PRJNA857537	Y	59_2024
SRR39121958	AUSMDU00095266	PRJNA857537	N	NA
SRR39121959	AUSMDU00116797	PRJNA857537	N	NA
SRR39121960	AUSMDU00116793	PRJNA857537	N	NA
SRR39121961	AUSMDU00116790	PRJNA857537	Y	50_2024
SRR39121962	AUSMDU00116769	PRJNA857537	N	NA
SRR39121963	AUSMDU00116689	PRJNA857537	N	NA
SRR39121964	AUSMDU00116679	PRJNA857537	N	NA
SRR39121965	AUSMDU00116672	PRJNA857537	Y	58_2024
SRR39121966	AUSMDU00116633	PRJNA857537	Y	56_2024
SRR39121967	AUSMDU00116071	PRJNA857537	N	NA
SRR39121968	AUSMDU00116054	PRJNA857537	N	NA
SRR39121969	AUSMDU00095265	PRJNA857537	N	NA
SRR39121970	AUSMDU00094354	PRJNA857537	Y	NA
SRR39121971	AUSMDU00116053	PRJNA857537	Y	46_2024
SRR39121972	AUSMDU00116041	PRJNA857537	N	NA
SRR39121973	AUSMDU00116037	PRJNA857537	Y	64_2024
SRR39121974	AUSMDU00116034	PRJNA857537	Y	57_2024
SRR39121975	AUSMDU00116017	PRJNA857537	N	NA
SRR39121976	AUSMDU00116013	PRJNA857537	N	NA
SRR39121977	AUSMDU00115968	PRJNA857537	N	NA
SRR39121978	AUSMDU00115964	PRJNA857537	Y	55_2024
SRR39121979	AUSMDU00115961	PRJNA857537	Y	17_2024
SRR39121980	AUSMDU00115960	PRJNA857537	Y	53_2024
SRR39121981	AUSMDU00115027	PRJNA857537	Y	35_2024
SRR39121982	AUSMDU00115025	PRJNA857537	N	NA
SRR39121983	AUSMDU00095258	PRJNA857537	N	NA
SRR39121984	AUSMDU00115020	PRJNA857537	N	NA
SRR39121985	AUSMDU00115017	PRJNA857537	N	NA
SRR39121986	AUSMDU00115012	PRJNA857537	N	NA
SRR39121987	AUSMDU00115009	PRJNA857537	N	NA
SRR39121988	AUSMDU00115001	PRJNA857537	N	NA
SRR39121989	AUSMDU00114999	PRJNA857537	N	NA
SRR39121990	AUSMDU00114993	PRJNA857537	N	NA
SRR39121991	AUSMDU00114869	PRJNA857537	N	NA
SRR39121992	AUSMDU00114800	PRJNA857537	N	NA
SRR39121993	AUSMDU00114798	PRJNA857537	N	NA
SRR39121994	AUSMDU00095257	PRJNA857537	N	NA
SRR39121995	AUSMDU00114796	PRJNA857537	N	NA
SRR39121996	AUSMDU00114795	PRJNA857537	N	NA
SRR39121997	AUSMDU00114793	PRJNA857537	N	NA
SRR39121998	AUSMDU00114789	PRJNA857537	N	NA
SRR39121999	AUSMDU00114788	PRJNA857537	Y	44_2024
SRR39122000	AUSMDU00114785	PRJNA857537	N	NA
SRR39122001	AUSMDU00114781	PRJNA857537	N	NA
SRR39122002	AUSMDU00114779	PRJNA857537	N	NA
SRR39122003	AUSMDU00114776	PRJNA857537	Y	NA
SRR39122004	AUSMDU00114771	PRJNA857537	N	NA
SRR39122005	AUSMDU00095256	PRJNA857537	Y	NA
SRR39122006	AUSMDU00114770	PRJNA857537	N	NA
SRR39122007	AUSMDU00114767	PRJNA857537	N	NA
SRR39122008	AUSMDU00114766	PRJNA857537	N	NA
SRR39122009	AUSMDU00114763	PRJNA857537	N	NA
SRR39122010	AUSMDU00114758	PRJNA857537	Y	41_2024
SRR39122011	AUSMDU00114748	PRJNA857537	N	NA
SRR39122012	AUSMDU00114747	PRJNA857537	Y	39_2024
SRR39122013	AUSMDU00108310	PRJNA857537	N	NA
SRR39122014	AUSMDU00108306	PRJNA857537	N	NA
SRR39122015	AUSMDU00108305	PRJNA857537	N	NA
SRR39122016	AUSMDU00108301	PRJNA857537	N	NA
SRR39122017	AUSMDU00108296	PRJNA857537	N	NA
SRR39122018	AUSMDU00108294	PRJNA857537	N	NA
SRR39122019	AUSMDU00107860	PRJNA857537	N	NA
SRR39122020	AUSMDU00094371	PRJNA857537	N	NA
SRR39122021	AUSMDU00107783	PRJNA857537	N	NA
SRR39122022	AUSMDU00107780	PRJNA857537	N	NA
SRR39122023	AUSMDU00107775	PRJNA857537	Y	NA
SRR39122024	AUSMDU00107757	PRJNA857537	N	NA
SRR39122025	AUSMDU00107751	PRJNA857537	N	NA
SRR39122026	AUSMDU00107731	PRJNA857537	N	NA
SRR39122027	AUSMDU00107710	PRJNA857537	N	NA
SRR39122028	AUSMDU00107709	PRJNA857537	N	NA
SRR39122029	AUSMDU00106993	PRJNA857537	Y	9_2024
SRR39122030	AUSMDU00106523	PRJNA857537	N	NA
SRR39122031	AUSMDU00094370	PRJNA857537	Y	NA
SRR39122032	AUSMDU00094352	PRJNA857537	N	NA
SRR39122033	AUSMDU00106455	PRJNA857537	N	NA
SRR39122034	AUSMDU00106166	PRJNA857537	N	NA
SRR39122035	AUSMDU00106165	PRJNA857537	N	NA
SRR39122036	AUSMDU00106164	PRJNA857537	N	NA
SRR39122037	AUSMDU00105991	PRJNA857537	Y	NA
SRR39122038	AUSMDU00105945	PRJNA857537	N	NA
SRR39122039	AUSMDU00105942	PRJNA857537	N	NA
SRR39122040	AUSMDU00105102	PRJNA857537	N	NA
SRR39122041	AUSMDU00105091	PRJNA857537	Y	3_2024
SRR39122042	AUSMDU00105055	PRJNA857537	N	NA
SRR39122043	AUSMDU00094369	PRJNA857537	N	NA
SRR39122044	AUSMDU00104858	PRJNA857537	Y	5_2024
SRR39122045	AUSMDU00094363	PRJNA857537	Y	NA
SRR39122046	AUSMDU00097774	PRJNA857537	N	NA
SRR39122047	AUSMDU00097773	PRJNA857537	N	NA
SRR39122048	AUSMDU00097772	PRJNA857537	N	NA
SRR39122049	AUSMDU00097771	PRJNA857537	N	NA
SRR39122050	AUSMDU00097770	PRJNA857537	N	NA
SRR39122051	AUSMDU00097769	PRJNA857537	N	NA
SRR39122052	AUSMDU00097768	PRJNA857537	N	NA
SRR39122053	AUSMDU00097767	PRJNA857537	N	NA
SRR39122054	AUSMDU00097766	PRJNA857537	N	NA
SRR39122055	AUSMDU00097765	PRJNA857537	N	NA
SRR39122056	AUSMDU00094362	PRJNA857537	N	NA
SRR39122057	AUSMDU00097764	PRJNA857537	N	NA
SRR39122058	AUSMDU00097763	PRJNA857537	N	NA
SRR39122059	AUSMDU00097762	PRJNA857537	N	NA
SRR39122060	AUSMDU00097761	PRJNA857537	Y	NA
SRR39122061	AUSMDU00097760	PRJNA857537	Y	NA
SRR39122062	AUSMDU00097500	PRJNA857537	N	NA
SRR39122063	AUSMDU00097465	PRJNA857537	N	NA
SRR39122064	AUSMDU00097461	PRJNA857537	N	NA
SRR39122065	AUSMDU00097433	PRJNA857537	N	NA
SRR39122066	AUSMDU00097269	PRJNA857537	N	NA
SRR39122067	AUSMDU00094361	PRJNA857537	N	NA
SRR39122068	AUSMDU00097268	PRJNA857537	N	NA
SRR39122069	AUSMDU00097267	PRJNA857537	N	NA
SRR39122070	AUSMDU00097266	PRJNA857537	N	NA
SRR39122071	AUSMDU00097265	PRJNA857537	N	NA
SRR39122072	AUSMDU00097073	PRJNA857537	N	NA
SRR39122073	AUSMDU00097069	PRJNA857537	N	NA
SRR39122074	AUSMDU00097067	PRJNA857537	N	NA
SRR39122075	AUSMDU00097054	PRJNA857537	N	NA
SRR39122076	AUSMDU00097052	PRJNA857537	N	NA
SRR39122077	AUSMDU00097051	PRJNA857537	Y	NA
SRR39122078	AUSMDU00094360	PRJNA857537	Y	NA
SRR39122079	AUSMDU00094351	PRJNA857537	N	NA
SRR39122080	AUSMDU00094350	PRJNA857537	N	NA
SRR6346206	DMG1701435	PRJNA421048	N	NA
SRR6346230	DMG1701442	PRJNA421048	N	NA
SRR6346234	DMG1701365	PRJNA421048	N	NA
SRR6346235	DMG1701366	PRJNA421048	N	NA
SRR6346238	DMG1701361	PRJNA421048	N	NA
SRR6346239	DMG1701362	PRJNA421048	N	NA
SRR6346240	DMG1701359	PRJNA421048	N	NA
SRR6346241	DMG1701360	PRJNA421048	N	NA
SRR6346243	DMG1701368	PRJNA421048	N	NA
SRR6346244	DMG1701459	PRJNA421048	N	NA
SRR6346246	DMG1701357	PRJNA421048	N	NA
SRR6346247	DMG1701358	PRJNA421048	N	NA
SRR6346254	DMG1701349	PRJNA421048	N	NA
SRR6346276	DMG1701420	PRJNA421048	N	NA
SRR6346279	DMG1701423	PRJNA421048	N	NA
SRR6346280	DMG1701353	PRJNA421048	N	NA
SRR6346282	DMG1701351	PRJNA421048	N	NA
SRR6346285	DMG1701518	PRJNA421048	N	NA
SRR6346287	DMG1701516	PRJNA421048	N	NA
SRR6346290	DMG1701513	PRJNA421048	N	NA
SRR6346292	DMG1701428	PRJNA421048	N	NA
SRR6346296	DMG1701398	PRJNA421048	N	NA
SRR6346297	DMG1701397	PRJNA421048	N	NA
SRR6346299	DMG1701389	PRJNA421048	N	NA
SRR6346303	DMG1701393	PRJNA421048	N	NA
